empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;MANGANESO  (MG/L);mercurio;niquel;plomo;sulfatos;sulfuros;TEMPERATURA    (C°)
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0.0;CONVENIO;CESMEC;;2024-01-08 00:00:00;RESUMEN;AUTOCONTROL;48.0;6.0;459.0;;12.2;32.0;3.0;0.7;204.0;CESMEC;;;;;;;;;;;;;;;;;;24.9
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420.0;CONVENIO;SGS;;2024-01-08 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;7.27;100.0;;7.7;34.55;13.0;0.6;722.0;7.5;225.0;;;;;;;;;;;;;;;;;24.96
RENDIC;16;VALLENAR II;III - Atacama;Vallenar;Arturo Prat 2350;0.0;TERMINADO;CESMEC;;2024-01-09 00:00:00;RESUMEN;AUTOCONTROL;96.0;;221.0;;3.4;5.0;24.0;1.5;121.0;CESMEC;;;;;;;;;;;;;;;;;;
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0.0;CONVENIO;SGS;;2024-01-09 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;6.94;979.0;;22.2;64.66;8.0;30;770.0;5;150.0;;;;;;;;;;;;;;;;;25.11
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0.0;CONVENIO;BIODIVERSA;;2024-01-09 00:00:00;RESUMEN;CONTROL DIRECTO;0.4;22.5;219.0;;6.12;12.4;14.0;0.9;33.0;2.88;86.39999999999999;;;;;;;;;;;;;;;;0.1;6.8
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0.0;CONVENIO;SGS;;2024-01-09 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;6.99;583.0;;13.4;20.98;10.0;18;1003.0;3.2;96.0;;;;;;;;;;;;;;;;;25.17
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0.0;CONVENIO;SGS;;2024-01-10 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;7.29;572.0;;15.1;8.66;5.0;5;303.0;6.3;189.0;;;;;;;;;;;;;;;;;24.16
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298.0;TERMINADO;CESMEC;;2024-01-11 00:00:00;RESUMEN;AUTOCONTROL;13.0;7.2;186.0;;7.1;52.9;29.0;0.5;40.0;1;30.0;;;;;;;;;;;;;;;;;21.7
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422.0;CONVENIO;AGQ;;2024-01-12 00:00:00;RESUMEN;CONTROL DIRECTO;0.5;7.68;13.7;;1.77;6.78;5.0;0.1;31.0;3.96;118.8;;;;;;;;;;;;;;;;;19.25
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552.0;SIN CONVENIO;CESMEC;;2024-01-15 00:00:00;RESUMEN;AUTOCONTROL;8.0;7.6;135.0;;4.7;38.25;3.0;1;81.0;138.6;4158.0;;;;;;;;;;10.0;;;;;;;22.9
MAYORISTA;3022;M10 TEMUCO II;IX - Araucanía;Temuco;Pedro De Valdivia 2285;3721.0;CONVENIO;AGQ;;2024-01-15 00:00:00;RESUMEN;CONTROL DIRECTO;15.0;7.23;639.0;;18.8;21.3;2.0;10;680.0;1.08;32.400000000000006;;;;;;;;;;;;;;;;;18.15
RENDIC;34;LA CHIMBA;II - Antofagasta;Antofagasta;Pedro Aguirre Cerda 8700;0.0;SIN CONVENIO;CESMEC;;2024-01-16 00:00:00;RESUMEN;AUTOCONTROL;47.0;7.03;311.0;;7.6;27.1;26.0;0.5;60.0;2.88;86.39999999999999;;;;;;;;;;;;;;;;;19.6
RENDIC;961;LA CHIMBA II;II - Antofagasta;Antofagasta;Av. Pedro Aguirre Cerda 11385;0.0;SIN CONVENIO;CESMEC;;2024-01-16 00:00:00;RESUMEN;AUTOCONTROL;75.0;5.75;241.0;;11.1;36.2;26.0;0.5;100.0;0;0.0;;;;;;;;;;;;;;;;;21.2
RENDIC;555;GRANEROS;VI - O'Higgins;Graneros;Obispo Rafael Lira 042;4574.0;SIN CONVENIO;CESMEC;;2024-01-18 00:00:00;RESUMEN;AUTOCONTROL;20.0;7.4;173.0;;4.0;29.2;3.0;1.5;113.0;1.3;39.0;;;;;;;;;;;;;;;;;21.5
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0.0;CONVENIO;BIODIVERSA;;2024-01-18 00:00:00;RESUMEN;CONTROL DIRECTO;0.78;;2690.0;;10.13;25.45;108.0;0.9;100.0;;0.0;;;;;;;;;;;;;;;;0.4;
RENDIC;461;ZENTENO AUSTRAL;XII - Magallanes;Punta Arenas;Capitan Guillermo 05;3736.0;SIN CONVENIO;HIDROLAB;;2024-01-18 00:00:00;RESUMEN;CONTROL DIRECTO;1.6;8.16;411.0;;4.1;5.14;2.0;0.2;81.0;0;0.0;;;;;;;;;;;;;;;;;21.6
RENDIC;29;GRAN VIA;II - Antofagasta;Antofagasta;Av. Angamos 0159;0.0;SIN CONVENIO;CESMEC;;2024-01-19 00:00:00;RESUMEN;AUTOCONTROL;24.0;6.93;31.0;;2.4;5.0;10.0;0.5;23.0;6.3;189.0;;;;;;;;;;;;;;;;;23.2
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684.0;CONVENIO;ANAM;;2024-01-19 00:00:00;RESUMEN;CONTROL DIRECTO;22.0;7.19;494.0;;13.2;0.93;6.0;0.5;86.0;1.6;48.0;;;;;;;;;;;;;;;;;19.2
