empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;manganeso;mercurio;niquel;plomo;sulfatos;sulfuros;created_at
RENDIC;477;CURAUMA;V - Valparaiso;Valparaíso;Obispo Valdes 1170;2721;SIN CONVENIO;CESMEC;;26-01-2024;RESUMEN;AUTOCONTROL;28;7,14;593;2;11,9;15,22;0,5;94;10,4;312;;;;;;;;;;;;;;;;;20,2;
RENDIC;754;TEMUCO IV;IX - Araucanía;Temuco;Avenida Javiera Carrera 1610;0;CONVENIO;AGQ;;26-01-2024;RESUMEN;CONTROL DIRECTO;11,8;6,68;301;2;2,6;111;6;500;8,92;267,6;;;;;;;;;;;;;;;;;19,35;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;CESMEC;;27-01-2024;RESUMEN;AUTOCONTROL;6,5;7,05;442;6;23,5;86,68;1,5;102,5;0,86;25,8;;;;;;;;;;;;;;;;;21,45;
RENDIC;461;ZENTENO AUSTRAL;XII - Magallanes;Punta Arenas;Capitan Guillermo 05;3736;SIN CONVENIO;HIDROLAB;;29-01-2024;COMPLETO;AUTOCONTROL;2,2;7,21;250;2;4,3;0,36;0,1;26;6,73;201,9;1,08;0,002;0,02;0,002;0,02;0,322;0,132;0,005;0,01;5;0,051;0,001;0,058;0,02;59,3;0,1;9,7;
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050;CONVENIO;SGS;;01-02-2024;RESUMEN;CONTROL DIRECTO;8;6,75;241;18;6;40,25;0,5;61;7,1;213;;;;;;;;;;;;;;;;;26,57;
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049;CONVENIO;SGS;;01-02-2024;RESUMEN;CONTROL DIRECTO;9;7,16;578;2;15,3;46,64;0,5;59;12,5;375;;;;;;;;;;;;;;;;;23,03;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;04-02-2024;RESUMEN;CONTROL DIRECTO;31;6,82;293;2;6;82,56;0,5;280;11,8;354;;;;;;;;;;;;;;;;;13,7;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;BIODIVERSA;;05-02-2024;RESUMEN;CONTROL DIRECTO;6;6,4;385;47;7,84;31,65;0,9;52,69;1,728;51,84;;;;;;;;;;;;;;;;0,1;26,3;
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422;CONVENIO;AGQ;;05-02-2024;RESUMEN;CONTROL DIRECTO;0,5;8,05;143;1;0,6;88;0,1;108;1,44;43,2;;;;;;;;;;;;;;;;;20,5;
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868;TERMINADO;BIODIVERSA;;06-02-2024;RESUMEN;CONTROL DIRECTO;6;7,5;108;8;7,83;0,68;6;323,73;37,152;1114,56;;;;;;;;;;;;;;;;0,1;21,9;
MAYORISTA;3022;M10 TEMUCO II;IX - Araucanía;Temuco;Pedro De Valdivia 2285;3721;CONVENIO;AGQ;;07-02-2024;RESUMEN;CONTROL DIRECTO;1,75;7,1;161;4;17,1;38,1;0,1;36;6,84;205,2;;;;;;;;;;;;;;;;;19,01;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;BIODIVERSA;;08-02-2024;RESUMEN;CONTROL DIRECTO;7;8,23;211;57;11,74;34,1;2;65,38;303,264;9097,92;;;;;;;;;;;;;;;;0,8;23,5;
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0;CONVENIO;SGS;;08-02-2024;RESUMEN;CONTROL DIRECTO;8;6,9;97;31;4,9;21,14;0,5;62;3,2;96;;;;;;;;;;;;;;;;;25,51;
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420;CONVENIO;SGS;;12-02-2024;RESUMEN;CONTROL DIRECTO;8;6,78;288;2;9,3;58,81;1,5;128;12,7;381;;;;;;;;;;;;;;;;;28,02;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;ANAM;;13-02-2024;RESUMEN;CONTROL DIRECTO;20;7,32;406;3;9;8,54;0,5;75;1,7;51;;;;;;;;;;;;;;;;;15,9;
RENDIC;465;PUERTO NATALES;XII - Magallanes;Puerto Natales;Bulnes 742;1133;SIN CONVENIO;HIDROLAB;;14-02-2024;RESUMEN;AUTOCONTROL;25,6;7,85;481;2;12;17,3;5,6;169;5,74;172,2;5,2;0,004;0,271;0,002;0,02;0,595;0,169;0,005;0,01;1;0,255;0,001;0,025;0,02;18,1;0,1;21;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;BIODIVERSA;;14-02-2024;RESUMEN;CONTROL DIRECTO;6;6,35;588;10,7;12,44;32,9;0,9;46,09;2,88;86,4;;;;;;;;;;;;;;;;0,1;23,7;
RENDIC;16;VALLENAR II;III - Atacama;Vallenar;Arturo Prat 2350;0;TERMINADO;BIODIVERSA;;14-02-2024;RESUMEN;CONTROL DIRECTO;2;7,5;18;7;3,45;0,39;0,9;27,96;3,46;103,8;;;;;;;;;;;;;;;;0,1;22,9;
RENDIC;909;TEMUCO SAN MARTIN;IX - Araucanía;Temuco;SAN MARTIN ( L147)  0675;0;SIN CONVENIO;AGQ;;16-02-2024;RESUMEN;CONTROL DIRECTO;9;7,05;68,8;1;0,85;7,01;0,5;54;0,36;10,8;;;;;;;;;;;;;;;;;20,2;
RENDIC;754;TEMUCO IV;IX - Araucanía;Temuco;Avenida Javiera Carrera 1610;0;CONVENIO;AGQ;;16-02-2024;RESUMEN;CONTROL DIRECTO;0,5;7;579;1;22,2;57,8;8,5;392;1,44;43,2;;;;;;;;;;;;;;;;;21,25;
RENDIC;463;BORIES AUSTRAL;XII - Magallanes;Punta Arenas;Gobernador Bories 647;3739;SIN CONVENIO;HIDROLAB;;19-02-2024;RESUMEN;AUTOCONTROL;12;5,5;197;2;5,1;0,87;0,1;27;1,39;41,7;0,664;0,001;0,172;0,002;0,02;0,432;0,112;0,03;0,03;10;0,033;0,001;0,017;0,02;9,23;0,1;10,1;
